Song,Polyphony,Polyphony Rate,Pitch in Scale Rate,Scale Consistency,No. Pitches Used,No. Pitch Classes Used,Pitch Class Entropy,Pitch Entropy
image_144.png,2.169278996865204,0.22340425531914893,0.40028901734104044,0.773121387283237,21,9,2.9729674564889788,4.208483143890774
image_145.png,3.1666666666666665,0.7447916666666666,0.32730263157894735,0.8231907894736842,26,11,2.93187693666334,4.292502772789144
image_146.png,3.627968337730871,0.7239583333333334,0.5163636363636364,0.8610909090909091,22,12,2.9631583411955065,4.060209359657551
image_147.png,2.28494623655914,0.4296875,0.30823529411764705,0.8247058823529412,17,8,2.5642474772109902,3.434764411019689
image_148.png,2.4138888888888888,0.3411458333333333,0.4844649021864212,0.6708860759493671,26,10,3.2109711578091913,4.53485836702378
image_149.png,3.8459302325581395,0.7994791666666666,0.3688586545729403,0.7951625094482238,24,11,3.2721506314808813,4.361656570909517
image_150.png,2.546875,0.4947916666666667,0.6625766871165644,0.7791411042944786,21,11,3.0164530468585666,4.116980536611442
image_151.png,2.5868945868945867,0.3802083333333333,0.31167400881057267,0.8392070484581498,20,9,2.809912060530531,4.091167053122838
image_152.png,3.5859375,0.7786458333333334,0.6151053013798112,0.6775599128540305,22,12,3.3171633829120144,4.249383908494645
image_153.png,3.671875,0.7447916666666666,0.4347517730496454,0.8312056737588652,19,10,3.110040033289097,3.9289750865073043
image_154.png,2.3192612137203166,0.40625,0.5984072810011376,0.8054607508532423,19,10,3.105285648456812,3.878805077427221
image_155.png,4.13421052631579,0.9157894736842105,0.6193507320178231,0.7632081476766391,26,12,3.227145464101058,4.3273546525874265
image_156.png,3.4192708333333335,0.6484375,0.607006854531607,0.8895658796648895,20,10,2.950244944618469,3.702702269792529
image_157.png,3.0081081081081082,0.4817708333333333,0.6163522012578616,0.7969451931716083,19,9,2.964529546373503,3.984535028250453
image_158.png,2.6822916666666665,0.5703125,0.7388349514563107,0.8038834951456311,22,11,3.064038487375861,4.1677449591227695
image_159.png,5.263020833333333,0.9036458333333334,0.65264720435428,0.6645225136071252,29,10,3.187130844889263,4.608362498000984
image_160.png,3.3577235772357725,0.6397849462365591,0.38256658595641646,0.778046811945117,25,11,3.0722466756349167,4.3130063006676505
image_161.png,3.515625,0.734375,0.4274074074074074,0.8274074074074074,23,11,3.1468201579775243,4.130271275984582
image_162.png,3.6396866840731072,0.7526041666666666,0.4720229555236729,0.7790530846484935,24,12,3.257702824481697,4.090983630099865
image_163.png,3.0179640718562872,0.5638888888888889,0.45436507936507936,0.7757936507936508,23,11,3.114816139258095,4.224722538034985
image_164.png,2.9765625,0.640625,0.7856517935258093,0.8390201224846894,14,9,2.7916120871860564,3.591517275665667
image_165.png,4.7890625,0.9010416666666666,0.46547036432843936,0.7188689505165851,28,12,3.3080474074230315,4.459355918254085
image_166.png,2.7527173913043477,0.4789473684210526,0.6594274432379073,0.7778874629812438,26,12,3.200242975349104,4.364211961347288
image_167.png,2.8146067415730336,0.5026041666666666,0.5199600798403193,0.7215568862275449,20,11,3.1298317540194422,4.053400781025823
image_168.png,3.6223958333333335,0.6770833333333334,0.3925233644859813,0.794392523364486,21,8,2.917327497844735,4.067437641566954
image_169.png,5.661458333333333,1.0,0.6444342226310947,0.7148114075436982,33,11,3.266317433525468,4.741362231071596
image_170.png,3.2320441988950277,0.625,0.452991452991453,0.6623931623931624,28,12,3.1784622276231387,4.489185129686499
image_171.png,3.9869791666666665,0.9192708333333334,0.549967341606793,0.8347485303723057,25,12,3.0071158466183086,4.155996107849116
image_172.png,2.3733333333333335,0.4583333333333333,0.38202247191011235,0.7528089887640449,13,12,3.2131934964045916,3.2603590406815925
image_173.png,5.190104166666667,0.9791666666666666,0.5494229804315103,0.7225288509784245,29,12,3.3781424515091274,4.617175028530257
image_174.png,4.7265625,0.8984375,0.418732782369146,0.8011019283746557,28,12,3.183527768149836,4.513466022015304
image_175.png,3.5546875,0.8463541666666666,0.32673992673992674,0.8161172161172161,17,11,3.065410364177999,3.6186205818337833
image_176.png,3.6770833333333335,0.7057291666666666,0.5906515580736544,0.7082152974504249,28,11,3.230244826865667,4.552162747257539
image_177.png,3.4850948509485096,0.7750677506775068,0.7045101088646968,0.7433903576982893,22,11,3.1404134858526858,4.111153976363188
image_178.png,3.286472148541114,0.734375,0.5383373688458434,0.7715899919289749,24,11,3.0839604168996413,4.319772856547737
